date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:55:31	123/123	---MC-	200	added ('OK')	text/plain	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/robots.txt		(from )
07:55:32	10057/10057	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/	E:/b/getbootstrap.com/index.html	(from )
07:55:33	2130/2130	---MC-	200	added ('OK')	application/javascript	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/js/ie-emulation-modes-warning.js	E:/b/getbootstrap.com/assets/js/ie-emulation-modes-warning.js	(from http://getbootstrap.com/)
07:55:34	22556/22556	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/css/docs.min.css	E:/b/getbootstrap.com/assets/css/docs.min.css	(from http://getbootstrap.com/)
07:55:35	5430/5430	---M--	200	added ('OK')	image/x-icon	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/favicon.ico	E:/b/getbootstrap.com/favicon.ico	(from http://getbootstrap.com/)
07:55:35	6140/6140	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/apple-touch-icon.png	E:/b/getbootstrap.com/apple-touch-icon.png	(from http://getbootstrap.com/)
07:55:36	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Dec%202015%2000:55:36%20GMT	http://getbootstrap.com/getting-started	E:/b/getbootstrap.com/getting-started	(from http://getbootstrap.com/)
07:55:40	26285/26285	---MC-	200	added ('OK')	text/javascript	date:Thu,%2005%20Nov%202015%2022:24:16%20GMT	http://www.google-analytics.com/analytics.js	E:/b/www.google-analytics.com/analytics.js	(from http://getbootstrap.com/)
07:55:48	65838/65838	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/getting-started/	E:/b/getbootstrap.com/getting-started/index.html	(from http://getbootstrap.com/)
07:55:49	121260/121260	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/dist/css/bootstrap.min.css	E:/b/getbootstrap.com/dist/css/bootstrap.min.css	(from http://getbootstrap.com/)
07:55:53	14588/14588	---MC-	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/img/sass-less.png	E:/b/getbootstrap.com/assets/img/sass-less.png	(from http://getbootstrap.com/)
07:55:55	6654/6654	---MC-	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/img/devices.png	E:/b/getbootstrap.com/assets/img/devices.png	(from http://getbootstrap.com/)
07:56:16	127156/127156	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/customize/	E:/b/getbootstrap.com/customize/index.html	(from http://getbootstrap.com/)
07:56:17	3110/3110	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/img/components.png	E:/b/getbootstrap.com/assets/img/components.png	(from http://getbootstrap.com/)
07:56:21	188762/188762	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/javascript/	E:/b/getbootstrap.com/javascript/index.html	(from http://getbootstrap.com/)
07:56:23	268283/268283	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/components/	E:/b/getbootstrap.com/components/index.html	(from http://getbootstrap.com/)
07:56:23	285174/285174	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/css/	E:/b/getbootstrap.com/css/index.html	(from http://getbootstrap.com/)
07:56:34	159273/159273	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/img/expo-lyft.jpg	E:/b/getbootstrap.com/assets/img/expo-lyft.jpg	(from http://getbootstrap.com/)
07:56:50	198624/198624	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/img/expo-vogue.jpg	E:/b/getbootstrap.com/assets/img/expo-vogue.jpg	(from http://getbootstrap.com/)
07:56:51	161715/161715	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Dec%202015%2009:21:33%20GMT	http://getbootstrap.com/assets/img/expo-riot.jpg	E:/b/getbootstrap.com/assets/img/expo-riot.jpg	(from http://getbootstrap.com/)
07:56:51	15844/15844	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202015%2009:21:34%20GMT	http://getbootstrap.com/about/	E:/b/getbootstrap.com/about/index.html	(from http://getbootstrap.com/)
07:56:52	95992/95992	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	E:/b/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from http://getbootstrap.com/)
